Inhabitants in thousands,NYC,SHA
1930,6930,3124
1940,7455,3595
1950,7892,4927
1960,7782,6977
1970,7895,7000
1980,7072,6010
1990,7323,7822
2000,8008,12531
2010,8175,14000
