TIOBE Index,PY,C,C++
1.2012,3.21,16.97,8.25
1.2014,2.37,17.94,7.56
1.2015,2.61,16.7,6.7
1.2016,3.85,16.04,6.91
1.2017,3.46,9.35,6.3
1.2018,4.68,11.04,5.6
1.2019,8.29,13.34,8.16
1.2020,9.7,15.77,5.57
1.2021,11.72,17.38,7.56
1.2022,13.58,14.08,8.29
1.2023,16.36,16.26,12.91
1.2024,13.97,11.44,9.9
